,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
0,2069,582,414,54,338,14721,114
1,345,886,961,5,0,9240,131
2,359,978,162,10,1,949,140
3,1,211,0,2,0,56,92
4,19890,536,917,16,1076,9159,144
5,6830,612,920,10,205,6876,140
6,51,170,87,6,0,4463,126
7,12819,805,1318,156,906,40301,139
8,8039,228,415,15,205,9642,140
9,807,70,84,8,198,3553,76
10,122,49,154,2,0,582,106
11,61623,515,663,15,0,30141,140
12,9075,912,1081,14,10,11937,140
13,1182,364,906,5,0,6013,77
14,122,49,154,2,0,582,93
15,57654,647,658,24,351,58279,144
16,874,287,198,18,1463,3794,140
17,11175,930,656,12,205,14618,140
18,1436,4537,47,47,351,12197,144
19,16455,1365,136,17,13,25764,140
20,908,18457,844,423,0,33611,113
21,14184,1215,1266,57,17,68242,112
22,39983,1556,1378,116,1076,81522,144
23,1452,175,282,2,21,1145,139
24,433,415,487,24,125,2642,129
25,76,10,43,0,275,272,100
26,2201,1310,1593,13,0,5631,140
27,3221,144,604,3,1,7207,140
28,230,264,576,5,0,8481,108
29,12849,1005,702,98,1,42279,138
30,3825,1244,971,253,137,29782,140
31,18,1088,25,713,0,231868,87
32,57903,681,2371,17,90,61676,144
33,5855,381,631,13,17,9106,112
34,16455,1365,136,17,32,25764,150
35,417,364,587,2,0,1047,131
36,12875,282,692,8,0,29175,130
37,19947,535,384,33,7,22704,140
38,3712,436,385,10,355,2642,53
39,50788,315,506,7,6,14432,129
40,76,933,1753,7,72,2264,115
41,14826,770,1172,57,0,31802,98
42,11175,930,656,12,4,14618,85
43,2424,1119,1185,14,0,9065,111
44,16462,2519,2519,49,0,19968,139
45,3175,1569,1823,34,0,22682,126
46,6998,240,684,8,0,5541,106
47,61582,840,911,54,0,29063,139
48,3,247,6,200,0,449383,136
49,1155,91,44,2,0,1421,140
50,712,301,144,2,0,104457,136
51,2126,142,172,4,0,8973,136
52,61952,771,536,49,351,23889,144
53,0,30,1,11,0,54574,136
54,1316,253,477,2,351,1653,144
55,1672,828,1029,40,47,11269,49
56,230,264,576,5,0,8481,110
57,5440,1475,2677,135,906,83111,139
58,2068,1643,1528,76,0,105149,118
59,61947,563,223,118,0,48759,137
60,979,104,237,18,72,20260,115
61,318,133,164,4,0,1820,104
62,7218,817,1087,59,4,34634,85
63,103775,893,1989,21,1,15675,110
64,0,18,11,24,0,45958,136
65,176,688,120,112,0,433845,136
66,176,688,120,112,0,433845,136
67,29292,2920,3094,10,0,49297,140
68,13863,363,525,14,1076,15706,144
69,825,40,200,2,351,1168,144
70,379,15,131,0,21,652,139
71,17066,16196,6105,952,0,81210,68
72,226,423,349,147,0,104846,136
73,0,673,849,38,0,189942,87
74,332,3326,638,189,0,1031911,136
75,968,66,19,2,72,1316,115
76,394,112,77,10,0,2538,124
77,175,120,42,2,2,690,62
78,137,286,300,3,32,3748,150
79,95644,2163,1531,88,5,157140,114
80,302,72,366,2,82,1297,67
81,1452,175,282,2,6,1145,94
82,19681,1645,904,62,0,52404,130
83,60686,5569,4333,164,0,147792,81
84,22924,3339,3365,27,1,15694,86
85,61686,1106,749,25,12,30758,118
86,137,286,300,3,13,3748,140
87,2825,561,1128,8,1076,4855,144
88,968,66,19,2,351,1316,144
89,0,32,10,27,0,45955,136
90,60853,550,236,39,0,42264,139
91,4642,629,959,10,0,6930,90
92,3221,144,604,3,2,7207,140
93,2960,43,54,6,0,8785,136
94,1282,435,176,14,0,12960,137
95,14184,1215,1266,57,1,68242,103
96,979,104,237,18,83,20260,140
97,22,828,209,131,0,850891,87
98,84,29,132,0,205,1810,95
99,14923,457,266,35,351,20543,144
100,11728,196,567,17,351,8037,144
101,13053,293,1104,12,114,31406,140
102,1578,179,433,6,1,2937,127
103,1155,91,44,2,1076,1421,144
104,11728,196,567,17,205,8037,140
105,42533,2920,1359,55,0,87009,129
